"location","state","both_sexes_2012","females_2012","males_2012"
"Baldwin County","Alabama",55.7,48.8,62.8
"Shelby County","Alabama",52,45.4,58.8
"Jefferson County","Alabama",50.7,44.5,57
"Madison County","Alabama",50.7,47,54.5
"Montgomery County","Alabama",49.8,42.9,56.9
"Mobile County","Alabama",48.3,42.1,54.8
"Lee County","Alabama",48.1,41.7,54.8
"Tuscaloosa County","Alabama",46.4,40.2,52.8
"Elmore County","Alabama",43.9,37.2,50.9
"Alabama","Alabama",43.6,36.5,51
"Autauga County","Alabama",42.5,34.4,50.9
"Houston County","Alabama",42.4,33.9,51.2
"Macon County","Alabama",41.8,33.3,50.6
"Coffee County","Alabama",41.7,33.6,50
"Morgan County","Alabama",40.8,33,48.9
"Dale County","Alabama",40,30.9,49.6
"Pike County","Alabama",39.9,31.7,48.5
"Chambers County","Alabama",39.5,32.4,46.8
"Limestone County","Alabama",39.3,32.7,46.1
"St. Clair County","Alabama",39.3,31.6,47.2
"Dallas County","Alabama",39,30.6,47.6
"Etowah County","Alabama",38.6,30.2,47.2
"Marengo County","Alabama",38.6,27.4,50.2
"Russell County","Alabama",38.5,32.1,45.2
"Calhoun County","Alabama",38.2,30.1,46.6
"Lowndes County","Alabama",38.2,26.6,50.3
"Sumter County","Alabama",38.2,27.6,49.2
"Talladega County","Alabama",38.2,28,48.7
"Marshall County","Alabama",38.1,28.6,48
"Escambia County","Alabama",37.9,30.6,45.4
"Barbour County","Alabama",37.6,29.2,46.3
"Covington County","Alabama",37.6,30.9,44.5
"Tallapoosa County","Alabama",37.5,28.2,47
"Lauderdale County","Alabama",37.4,31.2,43.8
"Colbert County","Alabama",37.2,30.5,44.2
"Conecuh County","Alabama",37.2,27.5,47.3
"Bullock County","Alabama",37.1,27.3,47.3
"Hale County","Alabama",37.1,25.5,49.1
"Greene County","Alabama",37,25.7,48.6
"Henry County","Alabama",36.4,26.5,46.7
"Perry County","Alabama",36.3,24.7,48.3
"Monroe County","Alabama",36.1,26.2,46.3
"Bibb County","Alabama",35.8,28,43.9
"Butler County","Alabama",35.8,26.6,45.3
"Wilcox County","Alabama",35.8,23.9,48.2
"Randolph County","Alabama",35.5,26.3,45.1
"Coosa County","Alabama",35.2,25.9,44.9
"Clarke County","Alabama",35,25.8,44.6
"Blount County","Alabama",34.9,26.3,43.9
"Choctaw County","Alabama",33.7,22.2,45.7
"Cullman County","Alabama",33.5,24.6,42.8
"Geneva County","Alabama",33.5,23.7,43.6
"Jackson County","Alabama",33.2,25.6,41.2
"Walker County","Alabama",32.8,25,40.8
"Crenshaw County","Alabama",32.4,23.2,41.9
"Chilton County","Alabama",32.3,22.5,42.5
"Pickens County","Alabama",32.3,22.7,42.3
"Fayette County","Alabama",32.1,22.1,42.3
"Cherokee County","Alabama",31.6,22.5,41.1
"Washington County","Alabama",31.6,22.6,40.8
"DeKalb County","Alabama",31.3,21.5,41.4
"Franklin County","Alabama",31.2,21.1,41.6
"Clay County","Alabama",31,22.8,39.5
"Cleburne County","Alabama",30.5,21.5,39.9
"Winston County","Alabama",30.4,21.1,40.1
"Lawrence County","Alabama",29.9,22.1,38.1
"Lamar County","Alabama",29.2,20.3,38.4
"Marion County","Alabama",28.9,19.4,38.7
